"sim_id","estimate_a0","true_cade_a0","diff_a0","estimate_a1","true_cade_a1","diff_a1"
58,6.19858324677421,7.0128950055576,-0.814311758783389,7.36151796817548,8.97959668515568,-1.6180787169802
59,5.81238228496973,7.0128950055576,-1.20051272058787,8.45425013958094,8.97959668515568,-0.525346545574736
60,6.02717673682833,7.0128950055576,-0.98571826872927,8.57797148503514,8.97959668515568,-0.401625200120534
61,6.24682751410825,7.0128950055576,-0.766067491449348,7.73864506424586,8.97959668515568,-1.24095162090982
62,5.48126849064184,7.0128950055576,-1.53162651491575,8.83361883602253,8.97959668515568,-0.14597784913315
63,5.64179709699832,7.0128950055576,-1.37109790855928,7.00488647915126,8.97959668515568,-1.97471020600442
64,5.49788415314677,7.0128950055576,-1.51501085241083,7.91042868296562,8.97959668515568,-1.06916800219005
65,5.84574549565515,7.0128950055576,-1.16714950990245,7.55131580686971,8.97959668515568,-1.42828087828597
66,5.91313998997846,7.0128950055576,-1.09975501557914,7.90454724470811,8.97959668515568,-1.07504944044757
67,6.13089380574449,7.0128950055576,-0.882001199813113,6.55078692306137,8.97959668515568,-2.42880976209431
68,6.27021407656649,7.0128950055576,-0.742680928991106,8.46086105802398,8.97959668515568,-0.518735627131695
69,5.20862493351853,7.0128950055576,-1.80427007203907,8.55059264265128,8.97959668515568,-0.429004042504401
70,6.14704618102922,7.0128950055576,-0.865848824528383,7.47291023736195,8.97959668515568,-1.50668644779373
71,5.65599064610715,7.0128950055576,-1.35690435945044,9.13873421152727,8.97959668515568,0.159137526371596
72,6.18370993629916,7.0128950055576,-0.829185069258441,9.04099368971115,8.97959668515568,0.0613970045554737
73,6.52802597567674,7.0128950055576,-0.484869029880857,9.04138347299924,8.97959668515568,0.0617867878435661
74,6.11490756007423,7.0128950055576,-0.897987445483369,6.86766726784719,8.97959668515568,-2.11192941730848
75,5.22600079700473,7.0128950055576,-1.78689420855287,8.20272733945082,8.97959668515568,-0.77686934570486
76,6.16332096937022,7.0128950055576,-0.849574036187377,8.93339849697646,8.97959668515568,-0.0461981881792184
77,6.25451772613671,7.0128950055576,-0.758377279420886,8.05411256179601,8.97959668515568,-0.925484123359665
78,5.89483588829111,7.0128950055576,-1.11805911726648,7.59570772936943,8.97959668515568,-1.38388895578625
79,6.37578058546297,7.0128950055576,-0.637114420094626,7.7346931441174,8.97959668515568,-1.24490354103828
80,5.71024021995155,7.0128950055576,-1.30265478560605,7.04391918996234,8.97959668515568,-1.93567749519333
81,5.75350964919022,7.0128950055576,-1.25938535636738,8.41516989138448,8.97959668515568,-0.564426793771201
82,5.97997468785684,7.0128950055576,-1.03292031770076,6.51355397295896,8.97959668515568,-2.46604271219671
83,5.58689894904029,7.0128950055576,-1.42599605651731,7.94384072982306,8.97959668515568,-1.03575595533261
84,6.41431396541698,7.0128950055576,-0.598581040140622,7.39579124616272,8.97959668515568,-1.58380543899296
85,6.25891118732744,7.0128950055576,-0.753983818230158,7.25450979938315,8.97959668515568,-1.72508688577253
86,5.7887838461204,7.0128950055576,-1.2241111594372,6.25620426490001,8.97959668515568,-2.72339242025567
87,6.09402777381709,7.0128950055576,-0.918867231740505,6.55491089097453,8.97959668515568,-2.42468579418115
88,5.39257551123266,7.0128950055576,-1.62031949432494,7.34620131358006,8.97959668515568,-1.63339537157562
89,6.14220841178154,7.0128950055576,-0.870686593776054,8.01179503289428,8.97959668515568,-0.9678016522614
90,6.0061095242579,7.0128950055576,-1.0067854812997,7.40922660020496,8.97959668515568,-1.57037008495072
91,6.48886739179914,7.0128950055576,-0.524027613758459,8.40775609493812,8.97959668515568,-0.571840590217562
92,5.9791541510305,7.0128950055576,-1.03374085452709,7.83571608014056,8.97959668515568,-1.14388060501512
93,5.66917510897561,7.0128950055576,-1.34371989658199,8.70697325899365,8.97959668515568,-0.272623426162028
94,6.31543861251818,7.0128950055576,-0.697456393039422,8.24361397166522,8.97959668515568,-0.735982713490458
95,6.02879118752601,7.0128950055576,-0.984103818031587,8.3333765212032,8.97959668515568,-0.646220163952473
96,5.66553091826187,7.0128950055576,-1.34736408729573,8.73320768877336,8.97959668515568,-0.246388996382315
97,5.67422271705586,7.0128950055576,-1.33867228850174,8.07168046664411,8.97959668515568,-0.90791621851157
98,6.43498255918035,7.0128950055576,-0.577912446377251,7.90587999596249,8.97959668515568,-1.07371668919318
99,5.67528384969141,7.0128950055576,-1.33761115586619,8.52706631786602,8.97959668515568,-0.452530367289654
100,5.34956427549369,7.0128950055576,-1.66333073006391,7.34805018179235,8.97959668515568,-1.63154650336332
101,6.16489919611876,7.0128950055576,-0.847995809438837,8.35038519839927,8.97959668515568,-0.629211486756411
